epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,4511.24,0.57746,0.36279,0.8398,0.1973,0.22012,0.17929,0.12243,1.12711,2.18062,1.1242,0.009109,0.009109,0.009109
92,4558.89,0.57248,0.36183,0.84014,0.20596,0.21136,0.19109,0.12823,1.17146,2.12513,1.17543,0.0090991,0.0090991,0.0090991
93,4607.12,0.57929,0.3599,0.84086,0.2104,0.2243,0.18374,0.12304,1.16054,2.03827,1.16189,0.0090892,0.0090892,0.0090892
94,4658.69,0.57323,0.3614,0.83982,0.22608,0.24104,0.20816,0.13735,1.178,1.76167,1.16753,0.0090793,0.0090793,0.0090793
95,4706.39,0.573,0.35818,0.83566,0.20045,0.19326,0.16255,0.10909,1.19076,2.25544,1.15393,0.0090694,0.0090694,0.0090694
96,4753.66,0.5699,0.35815,0.83546,0.21115,0.23667,0.20412,0.13548,1.18852,1.9688,1.18717,0.0090595,0.0090595,0.0090595
97,4803.14,0.56428,0.35242,0.83474,0.21512,0.23229,0.19586,0.12894,1.18758,2.007,1.18649,0.0090496,0.0090496,0.0090496
98,4850.7,0.56948,0.35621,0.8361,0.20723,0.22429,0.18901,0.12731,1.15723,2.03996,1.16181,0.0090397,0.0090397,0.0090397
99,4898.78,0.56262,0.35266,0.83586,0.19369,0.21527,0.17731,0.11695,1.20189,2.32031,1.18724,0.0090298,0.0090298,0.0090298
100,4948.99,0.57155,0.35902,0.83793,0.20565,0.23432,0.19117,0.12845,1.14554,1.94722,1.16207,0.0090199,0.0090199,0.0090199
101,4997.68,0.56729,0.35499,0.83273,0.20844,0.2219,0.18537,0.12429,1.15396,2.09716,1.15099,0.00901,0.00901,0.00901
